,链接,名字,放送类型,评分,中文名,导演,总导演,副导演,放送时间,系列构成,制作公司,脚本,分镜,演出,作画监督,原画,制片人,总集数,评分人数,看过,搁置,弃坑
1097,/subject/111097,Big Hero 6,剧场版,7.3,超能陆战队,,,,2019-02-09,,Walt Disney Animation Studios,,,,,,,1,1045,1440,4,2
1098,/subject/11208,こげぱん,TV,7.4,烤焦面包,小原秀一,,,2001-11-05,,ぴえろ,,,,,,,10,80,123,4,7
1099,/subject/2774,新機動戦記ガンダムW,TV,7.3,新机动战记高达W,"池田成,高松信司",,,1995-04-07,隅沢克之,サンライズ,"千葉克彦,池田成,面出明美,隅沢克之,川瀬敏文","千明孝一,貞光紳也,武井良幸,渡辺信一郎,於地紘仁,川瀬敏文,谷口悟朗,西森章,吉本毅,高松信司,池田成,浜津守,青木康直,杉島邦久,紅優,渡邊哲哉,森邦宏,日高政光","渡邊哲哉,青木康直,森邦宏,吉本毅,紅優,原田奈々,土器手司","重田敦司,菱沼義仁,村瀬修功,佐久間信一,藁谷均,西村誠芳,阿部邦博,筱雅律,土器手司","西岡忍,井口忠一,斉藤雅和,新号靖,西村誠芳,安藤義信,森悦史,飯飼一幸,重田敦司,菱沼義仁,三浦和也,伊東伸高,加藤義貴,大澤正典,藁谷均,小菅和久,山本浩憲,外崎春雄,城前龍治,山本佐和子,大久保宏,菊池晃,百瀬恵美子,高乗陽子,赤尾良太郎,門上洋子,村瀬修功,後藤雅巳,伊藤秀次,高橋晃,佐久間信一,佐久間信一,小野学",小泉美明,49,836,1072,93,38
1100,/subject/37137,TARI TARI,TV,7.3,,橋本昌和,,,2012-07-01,橋本昌和,P.A.WORKS,"佐藤梨香,橋本昌和,横手美智子","許琮,岡村天斎,安斎剛文,本郷みつる,多田俊介,浅井義之,橋本昌和","倉川英揚,平田豊,橋本昌和,許琮,太田知章,安斎剛文,山本秀世,浅井義之,大西景介","吉田優子,鍋田香代子,佐々木睦美,大東百合恵,天﨑まなむ,伊藤依織子,川面恒介","松本剛彦,堀内博之,石井百合子,室井ふみえ,石井明治,川面恒介,遠藤大輔","永谷敬之,堀川憲司",13,3328,3983,363,334
1101,/subject/2076,逮捕しちゃうぞ Second Season,TV,7.3,逮捕令 第二季,河本昇悟,,近藤信宏,2001-04-07,横手美智子,スタジオディーン,"田中哲生,面出明美,玉井☆豪,山口亮太,佐藤卓哉,横手美智子","近藤信宏,河本昇悟,吉田俊司,斉藤哲人,佐藤照雄","吉田俊司,清水明,則座誠,近藤信宏,佐藤照雄","小島正士,斉藤哲人,森本浩文,深澤学,河南正昭,曽我部孝,中嶋敦子,徳田夢之介,渡辺伸弘","室井ふみえ,斉藤哲人",,26,283,432,23,18
1102,/subject/244008,刺客伍六七,WEB,7.3,刺客伍六七,,,,2018-04-25,,小疯映画,,,,,,,14,426,485,16,22
1103,/subject/18016,ストライクウィッチーズ 劇場版,剧场版,7.3,强袭魔女 剧场版,高村和宏,,八谷賢一,2012-03-17,,AIC,"島田フミカネ,鈴木貴昭,八谷賢一,高村和宏,浦畑達彦","西本由紀夫,神戸洋行,高橋正典,林宏樹,八谷賢一","林宏樹,神戸洋行,高橋正典,八谷賢一,玉田博","依田正彦,片山敬介,竹田欣弘,神谷友美,山田真也,戸谷賢都,山川宏治","戸谷賢都,寺尾洋之,堀内博之,下司祐也",,1,696,967,39,17
1104,/subject/22912,UN-GO episode:0 因果論,剧场版,7.3,UN-GO episode: 0 因果论,水島精二,,,2011-11-19,,BONES,會川昇,"増井壮一,難波日登志","和田純一,浅井義之","松田剛吏,村井孝司,藤井慎吾","なかじまちゅうじ,小松勇輝,石橋翔祐,崎山北斗",,1,817,1163,57,20
1105,/subject/10739,神のみぞ知るセカイII,TV,7.3,只有神知道的世界II,高柳滋仁,,,2011-04-11,倉田英之,Manglobe,倉田英之,"佐藤光敏,矢吹勉,夕澄慶英,福田道生,岡佳広,加瀬充子,曽我準,市村徹夫,出合小都美,望月智充","平尾みほ,曽我準,市村徹夫,上原秀明,夕澄慶英,駒屋健一郎,筑紫大介,岡佳広,佐藤光敏","北條直明,杉本幸子,梅津茜,平野絵美,仁井学,高橋優也","蛯名秀和,羽山淳一",,12,3335,4458,192,120
1106,/subject/9389,红领巾侠,WEB,7.3,红领巾侠,"李夏,程腾",,,2019-02-09,,,,,,,"程腾,李夏",,1,491,667,5,7
